model,threshold,auroc,eod,tpr
XGBoost,0.5091836734693878,0.6582509304223664,0.15197496803714416,0.5696887686062246
XGBoost,0.5275510204081633,0.6582509304223664,0.15446470627817777,0.5250338294993234
XGBoost,0.5459183673469388,0.6582509304223664,0.13793596795218263,0.476319350473613
XGBoost,0.5642857142857143,0.6582509304223664,0.14645716977323192,0.4397834912043302
XGBoost,0.5826530612244898,0.6582509304223664,0.13905606588533415,0.38430311231393777
XGBoost,0.6010204081632653,0.6582509304223664,0.14887551472917326,0.3423545331529093
XGBoost,0.6193877551020408,0.6582509304223664,0.15711118150142542,0.3017591339648173
XGBoost,0.6377551020408163,0.6582509304223664,0.1550453514739229,0.2530446549391069
XGBoost,0.6561224489795918,0.6582509304223664,0.12811791383219956,0.22056833558863329
XGBoost,0.6744897959183673,0.6582509304223664,0.12480202724105163,0.18944519621109607
XGBoost,0.6928571428571428,0.6582509304223664,0.13620525815647766,0.14479025710419485
XGBoost,0.7112244897959183,0.6582509304223664,0.11515151515151516,0.11366711772665765
XGBoost,0.7295918367346939,0.6582509304223664,0.10935672514619882,0.08119079837618404
XGBoost,0.7479591836734694,0.6582509304223664,0.11052631578947368,0.05142083897158322
XGBoost,0.7663265306122449,0.6582509304223664,0.06842105263157895,0.03247631935047361
XGBoost,0.7846938775510204,0.6582509304223664,0.042105263157894736,0.02165087956698241
XGBoost,0.8030612244897959,0.6582509304223664,0.02631578947368421,0.010825439783491205
XGBoost,0.8214285714285714,0.6582509304223664,0.0051813471502590676,0.0027063599458728013
XGBoost,0.8397959183673469,0.6582509304223664,0.0025906735751295338,0.0013531799729364006
MLP,0.05,0.5355712073174852,0.10650238274391777,0.625169147496617
MLP,0.06836734693877551,0.5355712073174852,0.11037102979048108,0.6143437077131259
MLP,0.08673469387755102,0.5355712073174852,0.11488570247671137,0.6075778078484438
MLP,0.10510204081632653,0.5355712073174852,0.12138746701427527,0.6021650879566982
MLP,0.12346938775510204,0.5355712073174852,0.13267414872985095,0.591339648173207
MLP,0.14183673469387753,0.5355712073174852,0.13691857692429982,0.584573748308525
MLP,0.16020408163265304,0.5355712073174852,0.13213365974628805,0.5818673883626523
MLP,0.17857142857142855,0.5355712073174852,0.1296060789113916,0.5791610284167794
MLP,0.19693877551020406,0.5355712073174852,0.1431500969700823,0.5764546684709067
MLP,0.21530612244897956,0.5355712073174852,0.13610784344895555,0.571041948579161
MLP,0.23367346938775507,0.5355712073174852,0.12995359919739152,0.571041948579161
MLP,0.2520408163265306,0.5355712073174852,0.1367256082267369,0.5656292286874154
MLP,0.2704081632653061,0.5355712073174852,0.13331001812227766,0.5629228687415426
MLP,0.2887755102040816,0.5355712073174852,0.13078243728738115,0.5602165087956699
MLP,0.3071428571428571,0.5355712073174852,0.1282548564524847,0.557510148849797
MLP,0.3255102040816326,0.5355712073174852,0.13502686548183002,0.557510148849797
MLP,0.3438775510204081,0.5355712073174852,0.13728420182494516,0.5561569688768606
MLP,0.36224489795918363,0.5355712073174852,0.14405621085429055,0.5534506089309879
MLP,0.38061224489795914,0.5355712073174852,0.14857088354052078,0.5480378890392422
MLP,0.39897959183673465,0.5355712073174852,0.15082821988363593,0.5453315290933695
MLP,0.41734693877551016,0.5355712073174852,0.15082821988363593,0.5412719891745602
MLP,0.43571428571428567,0.5355712073174852,0.14378596636250918,0.5331529093369418
MLP,0.4540816326530612,0.5355712073174852,0.15281531173496965,0.5263870094722598
MLP,0.4724489795918367,0.5355712073174852,0.13873080469271615,0.5263870094722598
MLP,0.4908163265306122,0.5355712073174852,0.13873080469271615,0.5196211096075778
MLP,0.5091836734693878,0.5355712073174852,0.14324547737894638,0.5196211096075778
MLP,0.5275510204081633,0.5355712073174852,0.14776015006517668,0.5142083897158322
MLP,0.5459183673469388,0.5355712073174852,0.14776015006517668,0.5128552097428958
MLP,0.5642857142857143,0.5355712073174852,0.14071789654404993,0.5128552097428958
MLP,0.5826530612244898,0.5355712073174852,0.1449623247384988,0.510148849797023
MLP,0.6010204081632653,0.5355712073174852,0.14947699742472903,0.5087956698240866
MLP,0.6193877551020408,0.5355712073174852,0.15173433376784412,0.5087956698240866
MLP,0.6377551020408163,0.5355712073174852,0.14920675293294755,0.5087956698240866
MLP,0.6561224489795918,0.5355712073174852,0.16049343464852317,0.5060893098782138
MLP,0.6744897959183673,0.5355712073174852,0.16275077099163826,0.5020297699594046
MLP,0.6928571428571428,0.5355712073174852,0.1672654436778685,0.4979702300405954
MLP,0.7112244897959183,0.5355712073174852,0.1672654436778685,0.496617050067659
MLP,0.7295918367346939,0.5355712073174852,0.1672654436778685,0.4925575101488498
MLP,0.7479591836734694,0.5355712073174852,0.16952278002098364,0.4912043301759134
MLP,0.7663265306122449,0.5355712073174852,0.16952278002098364,0.4817320703653586
MLP,0.7846938775510204,0.5355712073174852,0.1717801163640988,0.4776725304465494
MLP,0.8030612244897959,0.5355712073174852,0.17855212539344412,0.476319350473613
MLP,0.8214285714285714,0.5355712073174852,0.17150987187231737,0.4709066305818674
MLP,0.8397959183673469,0.5355712073174852,0.1737672082154325,0.469553450608931
MLP,0.8581632653061224,0.5355712073174852,0.17349696372365114,0.462787550744249
MLP,0.8765306122448979,0.5355712073174852,0.17801163640988138,0.4587280108254398
MLP,0.8948979591836734,0.5355712073174852,0.18478364543922676,0.45331529093369416
MLP,0.9132653061224489,0.5355712073174852,0.18704098178234185,0.4519621109607578
MLP,0.9316326530612244,0.5355712073174852,0.19155565446857215,0.4397834912043302
MLP,0.95,0.5355712073174852,0.18198582011254888,0.42760487144790255
